✅ Pushed at 2025-08-31 11:44:03: {'zone1': {'temperature': 14.22, 'humidity': 60.54, 'timestamp': '2025-08-31 11:44:03', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.1, 'humidity': 52.28, 'timestamp': '2025-08-31 11:44:03', 'status': 'Within Range'}, 'zone3': {'temperature': 4.74, 'humidity': 85.89, 'timestamp': '2025-08-31 11:44:03', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 7.7, 'humidity': 66.16, 'timestamp': '2025-08-31 11:44:03', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:48:13: {'zone1': {'temperature': 9.88, 'humidity': 56.18, 'timestamp': '2025-08-31 11:48:13', 'status': 'Within Range'}, 'zone2': {'temperature': 1.04, 'humidity': 54.64, 'timestamp': '2025-08-31 11:48:13', 'status': 'Within Range'}, 'zone3': {'temperature': 5.62, 'humidity': 82.13, 'timestamp': '2025-08-31 11:48:13', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 13.06, 'humidity': 62.16, 'timestamp': '2025-08-31 11:48:13', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:48:18: {'zone1': {'temperature': 9.39, 'humidity': 56.62, 'timestamp': '2025-08-31 11:48:18', 'status': 'Within Range'}, 'zone2': {'temperature': 0.95, 'humidity': 55.25, 'timestamp': '2025-08-31 11:48:18', 'status': 'Within Range'}, 'zone3': {'temperature': 6.54, 'humidity': 81.34, 'timestamp': '2025-08-31 11:48:18', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 12.1, 'humidity': 61.43, 'timestamp': '2025-08-31 11:48:18', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:48:23: {'zone1': {'temperature': 9.89, 'humidity': 56.66, 'timestamp': '2025-08-31 11:48:23', 'status': 'Within Range'}, 'zone2': {'temperature': 0, 'humidity': 55.15, 'timestamp': '2025-08-31 11:48:23', 'status': 'Within Range'}, 'zone3': {'temperature': 5.58, 'humidity': 81.72, 'timestamp': '2025-08-31 11:48:23', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.56, 'humidity': 61.8, 'timestamp': '2025-08-31 11:48:23', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:48:28: {'zone1': {'temperature': 9.44, 'humidity': 55.85, 'timestamp': '2025-08-31 11:48:28', 'status': 'Within Range'}, 'zone2': {'temperature': 0.68, 'humidity': 54.8, 'timestamp': '2025-08-31 11:48:28', 'status': 'Within Range'}, 'zone3': {'temperature': 6.41, 'humidity': 82.28, 'timestamp': '2025-08-31 11:48:28', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.28, 'humidity': 62.06, 'timestamp': '2025-08-31 11:48:28', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:48:33: {'zone1': {'temperature': 9.6, 'humidity': 56.37, 'timestamp': '2025-08-31 11:48:33', 'status': 'Within Range'}, 'zone2': {'temperature': 0.65, 'humidity': 54.92, 'timestamp': '2025-08-31 11:48:33', 'status': 'Within Range'}, 'zone3': {'temperature': 5.55, 'humidity': 82.13, 'timestamp': '2025-08-31 11:48:33', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.31, 'humidity': 61.32, 'timestamp': '2025-08-31 11:48:33', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:48:38: {'zone1': {'temperature': 9.57, 'humidity': 57.16, 'timestamp': '2025-08-31 11:48:38', 'status': 'Within Range'}, 'zone2': {'temperature': 0.17, 'humidity': 54.04, 'timestamp': '2025-08-31 11:48:38', 'status': 'Within Range'}, 'zone3': {'temperature': 4.9, 'humidity': 82.58, 'timestamp': '2025-08-31 11:48:38', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 10.81, 'humidity': 61.55, 'timestamp': '2025-08-31 11:48:38', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:48:43: {'zone1': {'temperature': 10.48, 'humidity': 57.03, 'timestamp': '2025-08-31 11:48:43', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0, 'humidity': 53.76, 'timestamp': '2025-08-31 11:48:43', 'status': 'Within Range'}, 'zone3': {'temperature': 4.03, 'humidity': 83.06, 'timestamp': '2025-08-31 11:48:43', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.24, 'humidity': 62.18, 'timestamp': '2025-08-31 11:48:43', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:48:48: {'zone1': {'temperature': 10.14, 'humidity': 56.68, 'timestamp': '2025-08-31 11:48:48', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0, 'humidity': 54.5, 'timestamp': '2025-08-31 11:48:48', 'status': 'Within Range'}, 'zone3': {'temperature': 4.24, 'humidity': 83.84, 'timestamp': '2025-08-31 11:48:48', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 11.31, 'humidity': 62.98, 'timestamp': '2025-08-31 11:48:48', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:48:53: {'zone1': {'temperature': 9.53, 'humidity': 56.52, 'timestamp': '2025-08-31 11:48:53', 'status': 'Within Range'}, 'zone2': {'temperature': 0, 'humidity': 54.91, 'timestamp': '2025-08-31 11:48:53', 'status': 'Within Range'}, 'zone3': {'temperature': 4.83, 'humidity': 83.6, 'timestamp': '2025-08-31 11:48:53', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 10.87, 'humidity': 62.36, 'timestamp': '2025-08-31 11:48:53', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:48:58: {'zone1': {'temperature': 10.51, 'humidity': 56.07, 'timestamp': '2025-08-31 11:48:58', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0, 'humidity': 55.59, 'timestamp': '2025-08-31 11:48:58', 'status': 'Within Range'}, 'zone3': {'temperature': 4.3, 'humidity': 82.71, 'timestamp': '2025-08-31 11:48:58', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 10.77, 'humidity': 63.05, 'timestamp': '2025-08-31 11:48:58', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:49:03: {'zone1': {'temperature': 10.01, 'humidity': 55.43, 'timestamp': '2025-08-31 11:49:03', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0, 'humidity': 55.08, 'timestamp': '2025-08-31 11:49:03', 'status': 'Within Range'}, 'zone3': {'temperature': 5.1, 'humidity': 82.1, 'timestamp': '2025-08-31 11:49:03', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 10.13, 'humidity': 63.46, 'timestamp': '2025-08-31 11:49:03', 'status': '⚠ Out of Range'}}
✅ Pushed at 2025-08-31 11:49:09: {'zone1': {'temperature': 10.23, 'humidity': 55.18, 'timestamp': '2025-08-31 11:49:09', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 0.94, 'humidity': 55.08, 'timestamp': '2025-08-31 11:49:09', 'status': 'Within Range'}, 'zone3': {'temperature': 4.93, 'humidity': 82.98, 'timestamp': '2025-08-31 11:49:09', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 9.89, 'humidity': 62.48, 'timestamp': '2025-08-31 11:49:09', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:49:14: {'zone1': {'temperature': 10.54, 'humidity': 55.32, 'timestamp': '2025-08-31 11:49:14', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.02, 'humidity': 56.0, 'timestamp': '2025-08-31 11:49:14', 'status': 'Within Range'}, 'zone3': {'temperature': 5.4, 'humidity': 83.09, 'timestamp': '2025-08-31 11:49:14', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 10.65, 'humidity': 62.48, 'timestamp': '2025-08-31 11:49:14', 'status': '⚠ Out of Range'}}
